contador,temperatura
1,33.81
2,33.88
3,33.81
4,33.88
5,33.94
6,33.94
7,34
8,34
9,34
10,34
11,34
12,34
13,34.06
14,34.06
15,34.06
16,34.06
17,34.06
18,34.06
19,34.06
20,34.06
21,34.13
22,34.13
23,34.13
24,34.13
25,34.13
26,34.19
27,34.19
28,34.19
29,34.19
30,34.19
31,34.19
32,34.25
33,34.25
34,34.25
35,34.25
36,34.25
37,34.25
38,34.25
39,34.25
40,34.25
41,34.31
42,34.31
43,34.31
44,34.38
45,34.38
46,34.38
47,34.38
48,34.38
49,34.38
50,34.38
51,34.44
52,34.44
53,34.44
54,34.44
55,34.44
56,34.44
57,34.5
58,34.5
59,34.5
60,34.5
61,34.5
62,34.56
63,34.56
64,34.56
65,34.56
66,34.56
67,34.56
68,34.63
69,34.63
70,34.63
71,34.63
72,34.63
73,34.69
74,34.69
75,34.69
76,34.69
77,34.69
78,34.69
79,34.69
80,34.75
81,34.75
82,34.75
83,34.75
84,34.75
85,34.75
86,34.75
87,34.75
88,34.81
89,34.81
90,34.81
91,34.81
92,34.81
93,34.81
94,34.88
95,34.88
96,34.88
97,34.88
98,34.88
99,34.88
100,34.88
101,34.88
102,34.88
103,34.88
104,34.94
105,34.94
106,34.94
107,35
108,35
109,34.81
110,34.75
111,34.63
112,34.5
113,34.44
114,34.38
115,34.38
116,34.38
117,34.38
118,34.44
119,34.44
120,34.5
121,34.5
122,34.56
123,34.63
124,34.63
125,34.63
126,34.63
127,34.63
128,34.63
129,34.63
130,34.63
131,34.63
132,34.63
133,34.63
134,34.63
135,34.63
136,34.63
137,34.63
138,34.63
139,34.69
140,34.69
141,34.69
142,34.69
143,34.69
144,34.69
145,34.75
146,34.75
147,34.75
148,34.75
149,34.75
150,34.75
151,34.75
152,34.75
153,34.75
154,34.81
155,34.81
156,34.81
157,34.81
158,34.81
159,34.81
160,34.81
161,34.81
162,34.81
163,34.88
164,34.81
165,34.88
166,34.88
167,34.88
168,34.88
169,34.88
170,34.88
171,34.88
172,34.88
173,34.94
174,34.94
175,34.94
176,34.94
177,34.94
178,34.94
179,34.94
180,34.94
181,34.94
182,35
183,34.94
184,34.94
185,34.94
186,34.94
187,35
188,35
189,35
190,35
191,35
192,35
193,35
194,35.06
195,35.06
196,35.06
197,35.06
198,35.06
199,35.13
200,35.13
201,35.13
202,35.06
203,35.06
204,35.06
205,35.06
206,35.13
207,35.13
208,35.13
209,35.13
210,35.13
211,35.19
212,35.19
213,35.19
214,35.19
215,35.19
216,35.25
217,35.25
218,35.25
219,35.25
220,35.25
221,35.25
222,35.25
223,35.31
224,35.31
225,35.31
226,35.31
227,35.44
228,35.56
229,35.63
230,35.63
231,35.69
232,35.69
233,35.75
234,35.75
235,35.81
236,35.81
237,35.88
238,35.88
239,35.88
240,35.88
241,35.94
242,35.94
243,36
244,36
245,36
246,36.06
247,36.06
248,36.13
249,36.13
250,36.19
251,36.19
252,36.25
253,36.25
254,36.31
255,36.31
256,36.31
257,36.38
258,36.38
259,36.38
260,36.44
261,36.44
262,36.44
263,36.5
264,36.5
265,36.5
266,36.56
267,36.56
268,36.63
269,36.63
270,36.63
271,36.69
272,36.69
273,36.69
274,36.69
275,36.69
276,36.75
277,36.75
278,36.75
279,36.75
280,36.75
281,36.75
282,36.75
283,36.75
284,36.75
285,36.75
286,36.75
287,36.75
288,36.81
289,36.75
290,36.75
291,36.75
292,36.75
293,36.75
294,36.75
295,36.81
296,36.81
297,36.81
298,36.81
299,36.81
300,36.81
301,36.88
302,36.88
303,36.88
304,36.88
305,36.88
306,36.88
307,36.94
308,36.94
309,36.94
310,36.94
311,36.94
312,36.94
313,36.94
314,36.94
315,36.94
316,36.94
317,36.94
318,36.94
319,36.94
320,37
321,36.94
322,36.94
323,36.94
324,36.94
325,36.94
326,36.88
327,36.88
328,36.88
329,36.94
330,36.88
331,36.94
332,36.94
333,36.94
334,36.94
335,36.94
336,36.94
337,36.94
338,36.94
339,36.94
340,37
341,37
342,37
343,37
344,37
345,37
346,37
347,37
348,37
349,37
350,37
351,37.06
352,37.06
353,37.06
354,37.06
355,37.06
356,37.06
357,37.06
358,37.06
359,37.06
360,37.06
361,37.06
362,37.06
363,37.06
364,37.06
365,37.06
366,37.06
367,37
368,37
369,37
370,37
371,36.94
372,36.94
373,36.94
374,36.94
375,36.94
376,36.94
377,36.94
378,36.88
379,36.88
380,36.88
381,36.88
382,36.88
383,36.88
384,36.88
385,36.88
386,36.94
387,36.94
388,37
389,37
390,37
391,37.06
392,37.06
393,37.06
394,37.06
395,37.06
396,37.13
397,37.13
398,37.13
399,37.13
400,37.13
401,37.19
402,37.19
403,37.19
404,37.19
405,37.19
406,37.19
407,37.19
408,37.19
409,37.25
410,37.25
411,37.25
412,37.25
413,37.25
414,37.25
415,37.25
416,37.25
417,37.25
418,37.31
419,37.31
420,37.31
421,37.31
422,37.31
423,37.31
424,37.31
425,37.31
426,37.31
427,37.38
428,37.31
429,37.38
430,37.38
431,37.38
432,37.38
433,37.38
434,37.38
435,37.38
436,37.38
437,37.44
438,37.44
439,37.44
440,37.44
441,37.44
442,37.44
443,37.44
444,37.44
445,37.44
446,37.44
447,37.44
448,37.44
449,37.5
450,37.5
451,37.5
452,37.5
453,37.5
454,37.5
455,37.5
456,37.5
457,37.5
458,37.5
459,37.5
460,37.5
461,37.5
462,37.56
463,37.56
464,37.56
465,37.56
466,37.56
467,37.56
468,37.56
469,37.56
470,37.63
471,37.63
472,37.63
473,37.63
474,37.63
475,37.63
476,37.63
477,37.63
478,37.63
479,37.69
480,37.69
481,37.69
482,37.69
483,37.69
484,37.69
485,37.69
486,37.69
487,37.75
488,37.75
489,37.75
490,37.75
491,37.75
492,37.75
493,37.75
494,37.75
495,37.75
496,37.75
497,37.75
498,37.75
499,37.75
500,37.75
501,37.75
502,37.75
503,37.81
504,37.81
505,37.81
506,37.81
507,37.81
508,37.81
509,37.81
510,37.81
511,37.81
512,37.81
513,37.81
514,37.81
515,37.81
516,37.81
517,37.88
518,37.81
519,37.88
520,37.88
521,37.88
522,37.88
523,37.88
524,37.88
525,37.88
526,37.88
527,37.88
528,37.88
529,37.88
530,37.88
531,37.88
532,37.88
533,37.88
534,37.88
535,37.88
536,37.94
537,37.88
538,37.88
539,37.94
540,37.94
