fecha,hora,temperatura
20/06/2019,15:10:32,33.81
20/06/2019,15:10:34,33.88
20/06/2019,15:10:36,33.81
20/06/2019,15:10:38,33.88
20/06/2019,15:10:40,33.94
20/06/2019,15:10:42,33.94
20/06/2019,15:10:44,34
20/06/2019,15:10:46,34
20/06/2019,15:10:48,34
20/06/2019,15:10:50,34
20/06/2019,15:10:52,34
20/06/2019,15:10:54,34
20/06/2019,15:10:56,34.06
20/06/2019,15:10:58,34.06
20/06/2019,15:11:00,34.06
20/06/2019,15:11:02,34.06
20/06/2019,15:11:04,34.06
20/06/2019,15:11:06,34.06
20/06/2019,15:11:08,34.06
20/06/2019,15:11:10,34.06
20/06/2019,15:11:12,34.13
20/06/2019,15:11:14,34.13
20/06/2019,15:11:16,34.13
20/06/2019,15:11:18,34.13
20/06/2019,15:11:20,34.13
20/06/2019,15:11:22,34.19
20/06/2019,15:11:24,34.19
20/06/2019,15:11:26,34.19
20/06/2019,15:11:28,34.19
20/06/2019,15:11:30,34.19
20/06/2019,15:11:32,34.19
20/06/2019,15:11:34,34.25
20/06/2019,15:11:36,34.25
20/06/2019,15:11:38,34.25
20/06/2019,15:11:40,34.25
20/06/2019,15:11:42,34.25
20/06/2019,15:11:44,34.25
20/06/2019,15:11:46,34.25
20/06/2019,15:11:48,34.25
20/06/2019,15:11:50,34.25
20/06/2019,15:11:52,34.31
20/06/2019,15:11:54,34.31
20/06/2019,15:11:56,34.31
20/06/2019,15:11:58,34.38
20/06/2019,15:12:00,34.38
20/06/2019,15:12:02,34.38
20/06/2019,15:12:04,34.38
20/06/2019,15:12:06,34.38
20/06/2019,15:12:08,34.38
20/06/2019,15:12:10,34.38
20/06/2019,15:12:12,34.44
20/06/2019,15:12:14,34.44
20/06/2019,15:12:16,34.44
20/06/2019,15:12:18,34.44
20/06/2019,15:12:20,34.44
20/06/2019,15:12:22,34.44
20/06/2019,15:12:24,34.5
20/06/2019,15:12:26,34.5
20/06/2019,15:12:28,34.5
20/06/2019,15:12:30,34.5
20/06/2019,15:12:32,34.5
20/06/2019,15:12:34,34.56
20/06/2019,15:12:36,34.56
20/06/2019,15:12:38,34.56
20/06/2019,15:12:40,34.56
20/06/2019,15:12:42,34.56
20/06/2019,15:12:44,34.56
20/06/2019,15:12:46,34.63
20/06/2019,15:12:48,34.63
20/06/2019,15:12:50,34.63
20/06/2019,15:12:52,34.63
20/06/2019,15:12:54,34.63
20/06/2019,15:12:56,34.69
20/06/2019,15:12:58,34.69
20/06/2019,15:13:00,34.69
20/06/2019,15:13:02,34.69
20/06/2019,15:13:04,34.69
20/06/2019,15:13:06,34.69
20/06/2019,15:13:08,34.69
20/06/2019,15:13:10,34.75
20/06/2019,15:13:12,34.75
20/06/2019,15:13:14,34.75
20/06/2019,15:13:16,34.75
20/06/2019,15:13:18,34.75
20/06/2019,15:13:20,34.75
20/06/2019,15:13:22,34.75
20/06/2019,15:13:24,34.75
20/06/2019,15:13:26,34.81
20/06/2019,15:13:28,34.81
20/06/2019,15:13:30,34.81
20/06/2019,15:13:32,34.81
20/06/2019,15:13:34,34.81
20/06/2019,15:13:36,34.81
20/06/2019,15:13:38,34.88
20/06/2019,15:13:40,34.88
20/06/2019,15:13:42,34.88
20/06/2019,15:13:44,34.88
20/06/2019,15:13:46,34.88
20/06/2019,15:13:48,34.88
20/06/2019,15:13:50,34.88
20/06/2019,15:13:52,34.88
20/06/2019,15:13:54,34.88
20/06/2019,15:13:56,34.88
20/06/2019,15:13:58,34.94
20/06/2019,15:14:00,34.94
20/06/2019,15:14:02,34.94
20/06/2019,15:14:04,35
20/06/2019,15:14:06,35
20/06/2019,15:14:08,34.81
20/06/2019,15:14:10,34.75
20/06/2019,15:14:12,34.63
20/06/2019,15:14:14,34.5
20/06/2019,15:14:16,34.44
20/06/2019,15:14:18,34.38
20/06/2019,15:14:20,34.38
20/06/2019,15:14:22,34.38
20/06/2019,15:14:24,34.38
20/06/2019,15:14:26,34.44
20/06/2019,15:14:28,34.44
20/06/2019,15:14:30,34.5
20/06/2019,15:14:32,34.5
20/06/2019,15:14:34,34.56
20/06/2019,15:14:36,34.63
20/06/2019,15:14:38,34.63
20/06/2019,15:14:40,34.63
20/06/2019,15:14:42,34.63
20/06/2019,15:14:44,34.63
20/06/2019,15:14:46,34.63
20/06/2019,15:14:48,34.63
20/06/2019,15:14:50,34.63
20/06/2019,15:14:52,34.63
20/06/2019,15:14:54,34.63
20/06/2019,15:14:56,34.63
20/06/2019,15:14:58,34.63
20/06/2019,15:15:00,34.63
20/06/2019,15:15:02,34.63
20/06/2019,15:15:04,34.63
